phase_convention,training_seed,pca_dim,knn,n_basis,transition_coexact_minus_exact,post_coexact_minus_exact,post_minus_transition
fixed,4096,10,15,50,0.12213351394036742,-0.07133015040882051,-0.19346366434918794
fixed,4096,10,15,75,-0.019464734251436466,-0.20621107956617185,-0.18674634531473538
fixed,4096,10,20,50,0.012736439798264443,-0.11714400827741628,-0.12988044807568072
fixed,4096,20,15,50,0.2633400571112295,-0.0520121497390727,-0.3153522068503022
fixed,8080,5,15,50,-0.09778164553179147,-0.1185715480863474,-0.020789902554555928
fixed,8080,10,10,50,0.4256257121095478,0.35796582506068586,-0.06765988704886194
fixed,8080,10,15,30,0.5232231878417678,0.3730897142894566,-0.15013347355231121
fixed,8080,10,15,50,0.33019582453816887,0.20713310546126001,-0.12306271907690886
fixed,8080,10,15,75,0.2280813900174125,0.08480500277108577,-0.14327638724632674
fixed,8080,10,20,50,0.27890924119889915,0.09491043673499616,-0.183998804463903
fixed,8080,20,15,50,0.5071170895869382,0.29304256553572783,-0.2140745240512104
event_aligned,598,5,15,50,-0.12923193522761506,-0.40358424121583436,-0.2743523059882193
event_aligned,598,10,10,50,0.1378634713149729,-0.38829200865328195,-0.5261554799682548
event_aligned,598,10,15,30,0.2131810627088057,-0.3880216825250221,-0.6012027452338278
event_aligned,598,10,15,50,0.16328791329229136,-0.42087251753414956,-0.584160430826441
event_aligned,598,10,15,75,0.12729240892963106,-0.46464109438105095,-0.5919335033106821
event_aligned,598,10,20,50,0.05301207512297945,-0.44024125992214025,-0.4932533350451197
event_aligned,598,20,15,50,-0.012303876122189972,-0.37907452078171877,-0.3667706446595288
event_aligned,599,5,15,50,-0.20822384041435532,-0.25344178799027567,-0.04521794757592035
event_aligned,599,10,10,50,0.16707724956488595,-0.0609646308572484,-0.22804188042213436
event_aligned,599,10,15,30,0.2129348342508932,-0.08160640086705329,-0.2945412351179465
event_aligned,599,10,15,50,0.024725423313844808,-0.18931311974945475,-0.21403854306329956
event_aligned,599,10,15,75,-0.10484705269109768,-0.2585890506023125,-0.15374199791121484
event_aligned,599,10,20,50,-0.034734039292619645,-0.23207812719721638,-0.19734408790459673
event_aligned,599,20,15,50,0.22052022601451748,-0.373352035652616,-0.5938722616671335
event_aligned,777,5,15,50,0.08649808613435067,-0.545407462023147,-0.6319055481574978
event_aligned,777,10,10,50,0.416955873739892,-0.12570029005650035,-0.5426561637963924
event_aligned,777,10,15,30,0.4961036158582939,-0.05377258428182485,-0.5498762001401187
event_aligned,777,10,15,50,0.42959149000955343,-0.15494273331925795,-0.5845342233288113
event_aligned,777,10,15,75,0.3751273452202981,-0.28015992926300837,-0.6552872744833065
event_aligned,777,10,20,50,0.4407956269548381,-0.1302599789286955,-0.5710556058835337
event_aligned,777,20,15,50,0.5599750971006434,-0.012068702728197933,-0.5720437998288413
event_aligned,1001,5,15,50,-0.36246493367505905,-0.47342195001846127,-0.11095701634340221
event_aligned,1001,10,10,50,0.108912866721178,-0.26656120270144834,-0.37547406942262634
event_aligned,1001,10,15,30,0.08959105899287634,-0.2615532534732875,-0.35114431246616384
event_aligned,1001,10,15,50,-0.05460935787238508,-0.3637666287153414,-0.3091572708429563
event_aligned,1001,10,15,75,-0.21124467720799903,-0.4451770481260409,-0.2339323709180419
event_aligned,1001,10,20,50,-0.15525966243675954,-0.38659265906243645,-0.2313329966256769
event_aligned,1001,20,15,50,0.04736517258850209,-0.1879080780914639,-0.235273250679966
event_aligned,2027,5,15,50,-0.1597416855916649,-0.2965665301735393,-0.13682484458187438
event_aligned,2027,10,10,50,0.3504844700091983,-0.13669927729294878,-0.4871837473021471
event_aligned,2027,10,15,30,0.38879746855457437,-0.08884369634748901,-0.4776411649020634
event_aligned,2027,10,15,50,0.2043322327104955,-0.16225729778384512,-0.3665895304943406
event_aligned,2027,10,15,75,0.06706476239118447,-0.23775131034318953,-0.304816072734374
event_aligned,2027,10,20,50,0.10672820871799504,-0.1767520577558236,-0.28348026647381863
event_aligned,2027,20,15,50,0.20223694425751654,-0.08027553285797367,-0.2825124771154902
event_aligned,3141,5,15,50,-0.28579585156828324,-0.37600474285855434,-0.0902088912902711
event_aligned,3141,10,10,50,0.1406231630319567,-0.2962028692927785,-0.4368260323247352
event_aligned,3141,10,15,30,0.15911282353977602,-0.24237136094182282,-0.40148418448159884
event_aligned,3141,10,15,50,0.05534502062204494,-0.29004101480053723,-0.34538603542258217
event_aligned,3141,10,15,75,-0.08478814188024464,-0.38433801821389935,-0.2995498763336547
event_aligned,3141,10,20,50,-0.07618583432753334,-0.3412186647381208,-0.26503283041058745
event_aligned,3141,20,15,50,0.02920040172585109,-0.21316401639931543,-0.24236441812516651
event_aligned,4096,5,15,50,-0.16785821049798494,-0.3801801772678728,-0.21232196676988785
event_aligned,4096,10,10,50,0.21968160864591746,-0.11033184115462386,-0.3300134498005413
event_aligned,4096,10,15,30,0.2839689461887736,-0.004359021710004352,-0.28832796789877796
event_aligned,4096,10,15,50,0.09363629823320724,-0.09069166515358223,-0.18432796338678947
event_aligned,4096,10,15,75,-0.03822812935929443,-0.21294928162452256,-0.17472115226522814
event_aligned,4096,10,20,50,-0.027486722257595353,-0.07951777337930133,-0.05203105112170597
event_aligned,4096,20,15,50,0.11263503645335887,-0.0171529579500794,-0.12978799440343827
event_aligned,8080,5,15,50,0.16936065268563277,-0.2053376144143133,-0.3746982670999461
event_aligned,8080,10,10,50,0.44465234836517586,0.322883522052938,-0.12176882631223784
event_aligned,8080,10,15,30,0.5501872988515112,0.31277230519784005,-0.23741499365367114
event_aligned,8080,10,15,50,0.4275950676455559,0.13255521255396768,-0.2950398550915882
event_aligned,8080,10,15,75,0.3318854241614289,0.012447554570816755,-0.31943786959061216
